"female","use1976","use1977","use1978","use1979","use1980"
0,0,0,0,1,0
1,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,1,0
0,0,1,1,1,1
1,0,0,0,0,0
0,0,0,1,1,1
0,0,0,0,1,0
0,0,0,1,1,1
0,0,1,1,1,1
0,0,0,0,0,0
0,0,0,1,1,1
1,0,0,0,1,0
1,0,0,0,0,0
1,1,0,1,1,1
1,0,1,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,1,1
1,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,1
0,0,1,0,0,1
1,0,1,1,1,1
1,0,0,1,1,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,1,0,0,1
0,0,0,0,0,0
1,0,0,0,0,1
0,0,1,1,1,1
0,0,1,1,1,1
0,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,1,1,1
1,0,0,0,1,0
1,1,1,1,1,1
1,0,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,1,1,1,1
1,0,0,1,0,1
1,0,0,0,0,0
0,0,0,1,0,1
1,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,1,1,1,1
0,0,0,0,0,1
1,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,1,1
0,0,0,1,1,1
1,0,0,1,1,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,0,1
1,0,0,0,0,0
1,0,1,1,0,1
1,0,0,0,0,0
1,0,0,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,1
1,0,0,0,0,0
0,0,1,0,1,1
1,0,0,1,1,1
0,1,1,1,0,0
1,0,0,0,0,0
1,0,1,0,0,0
0,0,1,1,1,1
1,0,0,0,0,1
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
1,0,0,0,1,0
0,0,0,1,1,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,0,1,1,1
1,0,0,0,0,0
1,0,0,0,0,0
0,1,1,1,1,1
0,0,0,0,1,1
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,1,0
1,0,0,0,0,0
0,1,1,1,1,1
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
1,0,0,0,1,1
0,0,0,0,1,1
0,0,1,1,0,0
1,0,0,0,0,1
0,1,1,1,1,1
0,0,0,0,0,0
0,0,0,1,1,1
1,0,1,1,0,1
0,0,0,0,0,0
1,0,1,0,0,1
1,0,0,0,1,1
0,1,1,1,1,1
0,1,0,0,0,0
0,1,1,1,1,1
0,1,1,1,1,0
0,0,0,0,0,0
1,0,0,1,1,1
1,0,0,1,1,0
0,0,0,0,0,0
1,0,0,1,1,0
0,0,0,0,0,0
0,1,1,1,1,1
1,1,1,1,1,1
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,1,1,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
0,0,0,1,1,1
1,0,0,0,0,1
0,1,0,0,0,0
1,0,0,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,1,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,1,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,1,0,1
1,0,0,0,0,0
0,1,1,1,1,1
1,0,0,0,0,0
0,0,0,1,1,1
0,0,1,1,1,1
1,0,0,0,0,0
0,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,1
0,0,1,1,1,1
0,0,0,1,1,1
1,0,0,0,0,0
1,0,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,1,1,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,1,1
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,1
0,0,0,0,0,0
1,0,1,1,1,1
0,0,0,1,1,1
1,0,0,0,0,0
1,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,1,0
0,0,0,0,0,0
0,0,0,1,1,1
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,0,0
0,0,0,0,0,0
1,0,0,1,1,1
0,0,0,0,0,1
0,0,0,0,0,0
